,0,1
527,16.29475,7.65395
528,15.435514,3.752137
529,15.768237,4.5051723
530,15.719308,5.458592
531,15.52826,5.947943
532,15.371982,6.5344033
533,15.271515,7.343472
534,14.893102,4.361602
535,14.969745,4.7551556
536,14.74693,5.2874994
537,14.778315,5.5735226
538,14.646645,6.2989764
539,14.571575,7.0670466
540,17.402807,1.3365264
541,17.742735,2.1869373
542,17.91836,3.735049
543,18.037945,6.837411
544,18.230879,8.086691
545,18.092113,8.84055
546,17.07735,1.8458279
547,16.998074,2.6592374
548,17.296139,4.13204
549,17.273771,6.267401
550,17.488628,7.660028
551,17.444876,8.541216
552,16.220081,2.502528
553,16.180801,3.513507
554,16.343473,4.7100773
555,16.430733,6.130717
556,16.56086,7.274542
557,16.416199,8.067113
558,15.3311405,3.4777641
559,15.42489,4.2315407
560,15.357281,5.1279945
561,15.167203,5.9295735
562,15.288054,6.9280033
563,15.162055,7.51405
564,14.277919,4.099578
565,14.41357,4.7181506
566,14.36281,5.2888947
567,14.058209,6.0178638
568,14.005142,6.6618896
569,13.827172,7.217014
570,13.648029,4.6211014
571,13.576419,5.1473584
572,13.52046,5.6369905
573,13.31321,5.796193
574,13.394167,6.4500084
575,13.127806,6.9981647
576,16.254242,1.5813429
577,16.58303,2.3499343
578,16.707872,3.7758086
579,16.84452,6.8192368
580,17.107464,8.007773
581,17.135742,8.942422
582,15.952265,1.9985368
583,15.925353,2.9724045
